Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-02-20,ADANIPORTS,EQ,297.25,298.2,302.9,296.1,300.0,300.3,300.4,1690844,50793123900000.0,19478,371531,0.2197
2017-02-21,ADANIPORTS,EQ,300.3,300.5,305.4,298.3,303.8,304.15,302.53,2559043,77418701195000.0,23958,608749,0.2379
2017-02-22,ADANIPORTS,EQ,304.15,305.0,306.5,297.45,299.9,300.3,301.71,3507421,105823894175000.0,51982,1023299,0.2918
2017-02-23,ADANIPORTS,EQ,300.3,300.35,303.4,295.8,297.0,297.25,298.14,6593433,196577786025000.0,33236,4599280,0.6976000000000001
2017-02-27,ADANIPORTS,EQ,297.25,297.0,300.7,295.0,296.9,296.65,297.41,2116155,62935519725000.0,31125,885577,0.41850000000000004
2017-02-28,ADANIPORTS,EQ,296.65,297.65,303.35,296.8,301.15,301.75,300.1,2570349,77136218395000.0,51423,1099315,0.4277
2017-03-01,ADANIPORTS,EQ,301.75,302.95,305.0,301.15,301.95,302.5,303.6,1892520,57455967220000.01,32302,743983,0.3931
2017-03-02,ADANIPORTS,EQ,302.5,303.75,305.7,292.0,293.75,293.85,299.84,2458242,73707238165000.0,39501,992856,0.40390000000000004
2017-03-03,ADANIPORTS,EQ,293.85,293.0,297.4,291.0,296.95,296.35,295.52,2871834,84867928860000.0,42269,1406720,0.48979999999999996
2017-03-06,ADANIPORTS,EQ,296.35,297.85,304.9,296.45,304.0,303.15,300.49,1877927,56429445340000.0,29453,839809,0.4472
2017-03-07,ADANIPORTS,EQ,303.15,303.0,309.4,301.95,309.0,308.25,306.77,4069985,124856195545000.0,61262,1377495,0.3385
2017-03-08,ADANIPORTS,EQ,308.25,308.25,309.0,300.85,307.0,306.5,305.34,2786117,85071850465000.0,52881,1275419,0.45780000000000004
2017-03-09,ADANIPORTS,EQ,306.5,306.5,306.5,299.7,300.25,300.9,301.56,2564963,77348875225000.0,48136,1173390,0.4575
2017-03-10,ADANIPORTS,EQ,300.9,302.45,306.0,297.05,298.0,298.8,300.59,2684711,80700899945000.0,44007,1101310,0.41020000000000006
2017-03-14,ADANIPORTS,EQ,298.8,305.65,311.2,304.1,309.0,309.25,307.0,5102357,156640760605000.0,85377,2740732,0.5372
2017-03-15,ADANIPORTS,EQ,309.25,308.0,313.8,308.0,310.25,310.3,311.38,4865596,151503993805000.0,64263,2473842,0.5084000000000001
2017-03-16,ADANIPORTS,EQ,310.3,312.0,327.35,311.5,325.25,325.7,322.08,7051972,227132410194999.97,83946,2285416,0.3241
2017-03-17,ADANIPORTS,EQ,325.7,326.8,328.9,321.3,324.85,325.4,325.17,6779619,220454221200000.0,99816,4082358,0.6022
