Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-02,ADANIPOWER,EQ,50.85,50.85,51.05,50.2,50.55,50.55,50.62,6174960,31258717030000.0,9529,876363,0.1419
2019-01-03,ADANIPOWER,EQ,50.55,50.6,50.85,48.8,50.05,50.35,50.18,7113733,35698796235000.0,11731,1186433,0.1668
2019-01-04,ADANIPOWER,EQ,50.35,50.4,50.65,49.7,50.2,50.05,50.06,9620268,48157624455000.0,12164,1531247,0.1592
2019-01-07,ADANIPOWER,EQ,50.05,50.75,50.8,49.55,50.0,50.35,50.1,8717066,43671396710000.0,12560,930069,0.1067
2019-01-08,ADANIPOWER,EQ,50.35,50.15,52.6,49.75,51.3,51.55,51.53,14694658,75718042400000.0,31252,3176722,0.2162
2019-01-09,ADANIPOWER,EQ,51.55,51.75,51.9,50.4,50.7,50.9,51.21,7317677,37475665065000.0,15715,1240209,0.16949999999999998
2019-01-10,ADANIPOWER,EQ,50.9,51.1,51.1,50.2,50.4,50.5,50.52,3496789,17665957295000.0,9934,1089561,0.3116
2019-01-11,ADANIPOWER,EQ,50.5,50.75,50.75,49.85,49.85,50.25,50.32,2933044,14758867215000.0,5983,566941,0.1933
2019-01-14,ADANIPOWER,EQ,50.25,50.25,50.35,49.4,49.5,49.55,49.72,5325766,26479151455000.0,8509,912115,0.17129999999999998
2019-01-15,ADANIPOWER,EQ,49.55,49.7,51.3,49.7,49.95,50.25,50.59,9396079,47537037585000.0,12492,1491477,0.1587
2019-01-16,ADANIPOWER,EQ,50.25,50.1,50.45,49.2,49.75,49.8,50.0,5456511,27283231560000.004,10216,913953,0.1675
2019-01-17,ADANIPOWER,EQ,49.8,49.9,51.35,49.3,51.3,50.85,50.22,10398155,52223296635000.0,18457,1705144,0.16399999999999998
2019-01-18,ADANIPOWER,EQ,50.85,51.55,52.1,50.05,50.2,50.75,51.01,11090779,56578933750000.0,23216,1386260,0.125
2019-01-21,ADANIPOWER,EQ,50.75,50.2,51.4,49.25,49.55,49.8,50.2,13143168,65980607770000.01,17434,1255009,0.09550000000000002
2019-01-22,ADANIPOWER,EQ,49.8,49.6,52.2,49.55,51.55,51.3,50.9,14364718,73116483350000.0,25011,2557402,0.17800000000000002
2019-01-23,ADANIPOWER,EQ,51.3,51.35,52.5,51.35,51.5,51.75,51.91,10104731,52455266565000.0,19429,1700535,0.16829999999999998
2019-01-24,ADANIPOWER,EQ,51.75,51.6,52.7,51.4,51.6,52.1,52.06,9678975,50384149855000.0,16253,3430888,0.35450000000000004
2019-01-25,ADANIPOWER,EQ,52.1,51.95,52.15,48.25,49.0,49.15,49.68,14778257,73411843960000.0,27287,3555939,0.24059999999999998
2019-01-28,ADANIPOWER,EQ,49.15,49.0,50.5,39.0,40.5,40.05,42.85,50291637,215498785375000.0,78545,9549423,0.18989999999999999
2019-01-29,ADANIPOWER,EQ,40.05,40.0,44.0,39.8,42.75,43.15,42.68,32943730,140605780640000.02,63499,3365583,0.10220000000000001
2019-01-30,ADANIPOWER,EQ,43.15,43.1,45.25,42.8,44.5,44.5,44.19,16323067,72136403890000.0,33786,1660461,0.1017
2019-01-31,ADANIPOWER,EQ,44.5,44.75,46.5,43.05,46.3,45.5,44.41,17642681,78356918845000.0,31674,2160446,0.1225
2019-02-01,ADANIPOWER,EQ,45.5,46.35,46.85,41.85,44.2,44.2,45.27,11033520,49951910720000.0,24723,1708349,0.15480000000000002
2019-02-04,ADANIPOWER,EQ,44.2,44.25,44.3,38.65,39.5,39.75,40.34,21822407,88025553725000.0,39369,2540189,0.1164
2019-02-05,ADANIPOWER,EQ,39.75,39.55,40.7,36.4,37.55,37.75,38.45,16204237,62303492970000.01,29829,2181514,0.13460000000000003
2019-02-06,ADANIPOWER,EQ,37.75,37.95,38.65,34.6,37.9,38.05,36.6,29251898,107070585515000.0,51423,1823384,0.06230000000000001
2019-02-07,ADANIPOWER,EQ,38.05,37.6,37.6,35.35,36.35,36.75,36.6,16398215,60017523570000.01,30075,934683,0.057
2019-02-08,ADANIPOWER,EQ,36.75,35.75,37.05,35.2,35.5,35.6,36.0,10009016,36030120715000.0,16793,1197260,0.11960000000000001
2019-02-11,ADANIPOWER,EQ,35.6,35.75,36.15,33.35,34.9,34.7,34.38,11790819,40542567930000.0,19350,1663331,0.1411
2019-02-12,ADANIPOWER,EQ,34.7,34.7,35.4,33.6,33.7,33.95,34.18,6570103,22455882155000.0,14832,1108109,0.16870000000000002
2019-02-13,ADANIPOWER,EQ,33.95,33.8,37.5,33.25,36.85,36.85,36.11,24455139,88305199170000.0,45467,2222231,0.0909
2019-02-14,ADANIPOWER,EQ,36.85,36.55,37.55,35.05,37.05,37.15,36.52,9932519,36277652115000.0,29243,1065949,0.1073
2019-02-15,ADANIPOWER,EQ,37.15,37.0,40.3,36.3,39.3,39.35,38.88,16027848,62311032890000.0,38561,1741882,0.10869999999999999
2019-02-18,ADANIPOWER,EQ,39.35,39.35,39.7,37.05,37.4,37.65,38.23,8362780,31968626620000.0,17270,1161219,0.1389
2019-02-19,ADANIPOWER,EQ,37.65,37.25,39.1,36.5,36.9,36.85,37.74,11395529,43005872030000.0,22965,871482,0.0765
2019-02-20,ADANIPOWER,EQ,36.85,37.05,41.1,36.85,40.7,39.55,38.51,11657825,44899041940000.0,20986,1909889,0.1638
2019-02-21,ADANIPOWER,EQ,39.55,40.25,40.95,38.85,39.15,39.55,39.72,14132459,56139882075000.0,25000,1840027,0.1302
2019-02-22,ADANIPOWER,EQ,39.55,39.35,40.4,39.2,39.55,39.85,39.81,12065389,48032230605000.0,19985,1190342,0.0987
